"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.05,6,0,0.75,0,0.5,200,0.813640051011744,0.608713862952144,0.0108115385932371,0.0224865519002305
"3",0.05,6,0,0.75,0,1,200,0.810320651338216,0.601049367658354,0.0130533260924238,0.0268292893035845
"5",0.05,6,0,0.75,1,0.5,200,0.812544137256028,0.606249673701848,0.0138394211019304,0.0287577918282735
"7",0.05,6,0,0.75,1,1,200,0.810011730435585,0.600531985506793,0.0120409300298537,0.0251321850542576
"9",0.05,6,0,0.75,2,0.5,200,0.809123473647014,0.598902337806262,0.0135805303234444,0.0276850632668048
"11",0.05,6,0,0.75,2,1,200,0.809019855586975,0.597855053629846,0.0127672363577006,0.0264223440859054
"13",0.05,6,0,1,0,0.5,200,0.82010783753348,0.622796967156305,0.0131201244096886,0.0271152315495113
"15",0.05,6,0,1,0,1,200,0.812476428677217,0.606245034865596,0.013161135688244,0.0275233293517273
"17",0.05,6,0,1,1,0.5,200,0.817712639446851,0.617918605236862,0.0123252878110447,0.0252169139246765
"19",0.05,6,0,1,1,1,200,0.811243517152341,0.603457470013575,0.0125926214695542,0.0261336876162116
"21",0.05,6,0,1,2,0.5,200,0.815077001467175,0.612254175766915,0.0116710591270935,0.0240199877813287
"23",0.05,6,0,1,2,1,200,0.810491029610141,0.601832319740826,0.0130452175905309,0.0268898941515986
"25",0.05,6,0.01,0.75,0,0.5,200,0.813605755944018,0.608785920587198,0.014796901253647,0.0301405847173215
"27",0.05,6,0.01,0.75,0,1,200,0.809156502349624,0.598808845658271,0.0126943582904758,0.0261252186099987
"29",0.05,6,0.01,0.75,1,0.5,200,0.812887317476389,0.606990801286531,0.0124493443496348,0.0256030830647723
"31",0.05,6,0.01,0.75,1,1,200,0.809772378951319,0.60000516847167,0.0127569416115764,0.0265687003038097
"33",0.05,6,0.01,0.75,2,0.5,200,0.812304926246516,0.605923062535125,0.0114401977131688,0.0237336652499477
"35",0.05,6,0.01,0.75,2,1,200,0.808712023165275,0.597478436102705,0.0136534468588502,0.0284496299308662
"37",0.05,6,0.01,1,0,0.5,200,0.817746300249779,0.617936012593463,0.0140319947116801,0.0288653053974348
"39",0.05,6,0.01,1,0,1,200,0.811860482379266,0.604887483788748,0.012787732690559,0.0267125681440295
"41",0.05,6,0.01,1,1,0.5,200,0.817062504970413,0.616384402757794,0.0124891649002872,0.0254342698233015
"43",0.05,6,0.01,1,1,1,200,0.811039162027329,0.602930967303908,0.0132916576167284,0.0273632004341481
"45",0.05,6,0.01,1,2,0.5,200,0.815556440972186,0.613073087707529,0.0133601291286415,0.0276320588853948
"47",0.05,6,0.01,1,2,1,200,0.809328320830485,0.599362460080709,0.0147028087821775,0.0304810196867808
"49",0.05,6,0.1,0.75,0,0.5,200,0.814152800313171,0.609927049315896,0.012767095160905,0.0264849595773003
"51",0.05,6,0.1,0.75,0,1,200,0.811962659797473,0.604446474467802,0.0125657660812082,0.0263190029575658
"53",0.05,6,0.1,0.75,1,0.5,200,0.811791649280932,0.604805015216026,0.0129011076501319,0.0265549196591123
"55",0.05,6,0.1,0.75,1,1,200,0.809874767117732,0.600295219706731,0.0134524217063089,0.0282063957840258
"57",0.05,6,0.1,0.75,2,0.5,200,0.81305808142258,0.607276711764964,0.012658544617131,0.0264143918738501
"59",0.05,6,0.1,0.75,2,1,200,0.809396029842191,0.598807684653191,0.0139204526497282,0.0292814700089747
"61",0.05,6,0.1,1,0,0.5,200,0.817883615079189,0.618448119347549,0.0128810420438888,0.0266484801078022
"63",0.05,6,0.1,1,0,1,200,0.810594190640222,0.602216634421587,0.0129694073766803,0.0269860669197243
"65",0.05,6,0.1,1,1,0.5,200,0.816309279520897,0.614953201044135,0.0128106787215745,0.0261849356093705
"67",0.05,6,0.1,1,1,1,200,0.810320265231054,0.60152909862563,0.0122576883988012,0.0253271920985094
"69",0.05,6,0.1,1,2,0.5,200,0.816171789837575,0.614739464402735,0.0136132465466572,0.0280452341606695
"71",0.05,6,0.1,1,2,1,200,0.80915660743513,0.598812533688867,0.0126216550623878,0.0262821160430193
"217",0.3,6,0,0.75,0,0.5,200,0.814631186365753,0.612710240124193,0.0131518355718386,0.0269543639864741
"219",0.3,6,0,0.75,0,1,200,0.819662234046055,0.623035454686024,0.00989840009168454,0.0202635997980683
"221",0.3,6,0,0.75,1,0.5,200,0.812270667361681,0.607898139539304,0.013381869446813,0.0273773850305156
"223",0.3,6,0,0.75,1,1,200,0.819763674494888,0.623296730288988,0.0114994227241273,0.0233056275376679
"225",0.3,6,0,0.75,2,0.5,200,0.811380936345763,0.60586669512453,0.0116691271284308,0.0236450183348677
"227",0.3,6,0,0.75,2,1,200,0.819115436030804,0.62219718895044,0.0118296570486905,0.0240399526435322
"229",0.3,6,0,1,0,0.5,200,0.818499419603699,0.620694799918115,0.0137403274054852,0.0285820999445562
"231",0.3,6,0,1,0,1,200,0.822878296248305,0.630026324929999,0.0132063899056813,0.027623477846683
"233",0.3,6,0,1,1,0.5,200,0.818123141128769,0.620607248362815,0.0112391697446848,0.0228122657877546
"235",0.3,6,0,1,1,1,200,0.822399346492975,0.629140974932511,0.0132893088231482,0.0270962700509925
"237",0.3,6,0,1,2,0.5,200,0.817677221086141,0.62002965401418,0.0123595887134245,0.0252365889873469
"239",0.3,6,0,1,2,1,200,0.822194500175296,0.628595870998549,0.0127597544770046,0.0265219696040854
"241",0.3,6,0.01,0.75,0,0.5,200,0.814153432413489,0.61176908186799,0.0120086473797758,0.0246543596083289
"243",0.3,6,0.01,0.75,0,1,200,0.819525095946439,0.6225003940961,0.0112104154654396,0.0232929149163056
"245",0.3,6,0.01,0.75,1,0.5,200,0.815488029442412,0.614340315724774,0.0104706729606918,0.0216659887664674
"247",0.3,6,0.01,0.75,1,1,200,0.819662445371455,0.622954217593843,0.0112387261002718,0.0230828988912776
"249",0.3,6,0.01,0.75,2,0.5,200,0.810012501279072,0.603402549181458,0.014697086175643,0.0305860322395902
"251",0.3,6,0.01,0.75,2,1,200,0.818909535322754,0.621665850102161,0.013130288156704,0.0269540899630482
"253",0.3,6,0.01,1,0,0.5,200,0.817301645129279,0.618726469536715,0.0142521466428587,0.0297316872463178
"255",0.3,6,0.01,1,0,1,200,0.823221405978766,0.630425112491873,0.0126599270634697,0.0261376306545873
"257",0.3,6,0.01,1,1,0.5,200,0.818737858471036,0.621566623939158,0.0124153112560611,0.0259081468864877
"259",0.3,6,0.01,1,1,1,200,0.821920609289584,0.62805526240623,0.0148376453094007,0.030496693541214
"261",0.3,6,0.01,1,2,0.5,200,0.815008448669004,0.613458064989903,0.0117335749531491,0.024138818142908
"263",0.3,6,0.01,1,2,1,200,0.822126510358381,0.628319459415548,0.0133153324783028,0.027560652292516
"265",0.3,6,0.1,0.75,0,0.5,200,0.816548209003707,0.616757267452594,0.0141333397034272,0.0290716749409718
"267",0.3,6,0.1,0.75,0,1,200,0.820586751322367,0.625097373617054,0.0126674107341035,0.0258411841478944
"269",0.3,6,0.1,0.75,1,0.5,200,0.812647053086596,0.608410468010184,0.0112790565365173,0.0238627752741218
"271",0.3,6,0.1,0.75,1,1,200,0.820962608300886,0.625598846876212,0.0120842126954848,0.0251662711266191
"273",0.3,6,0.1,0.75,2,0.5,200,0.811791614324579,0.60725305493608,0.0127532417011112,0.0262379772632092
"275",0.3,6,0.1,0.75,2,1,200,0.8201412525597,0.624197118713587,0.0136904305377517,0.0282549896886608
"277",0.3,6,0.1,1,0,0.5,200,0.81822570566423,0.62059362582845,0.0132870806356904,0.0269645137420992
"279",0.3,6,0.1,1,0,1,200,0.821304839649277,0.626244544938536,0.0136248156406848,0.0282949640028819
"281",0.3,6,0.1,1,1,0.5,200,0.816924172438568,0.617616724954185,0.0123384413863823,0.0257715319374614
"283",0.3,6,0.1,1,1,1,200,0.823974349540833,0.632389711950963,0.0139378165006271,0.0288226270775542
"285",0.3,6,0.1,1,2,0.5,200,0.815658723548047,0.615052673185764,0.0121400988053087,0.0254696139132658
"287",0.3,6,0.1,1,2,1,200,0.822948006574319,0.630031591516729,0.0127425518268995,0.0262750714108836
"433",1,6,0,0.75,0,0.5,200,0.791704737759987,0.564803361615744,0.011510129247628,0.024370467309578
"435",1,6,0,0.75,0,1,200,0.816788368091546,0.617450245812228,0.0108534464029376,0.0223486086997923
"437",1,6,0,0.75,1,0.5,200,0.785033015228722,0.551859067242912,0.0116122627855625,0.0238774789124623
"439",1,6,0,0.75,1,1,200,0.81203071981569,0.607681128943693,0.0114599066887548,0.0237635803375275
"441",1,6,0,0.75,2,0.5,200,0.783937559152308,0.549128463510115,0.0168705626931921,0.0349347708698866
"443",1,6,0,0.75,2,1,200,0.809668866048935,0.602764337138601,0.0140659888293388,0.0288311773877619
"445",1,6,0,1,0,0.5,200,0.800602508628745,0.584195927393825,0.010136697521494,0.0205878186983466
"447",1,6,0,1,0,1,200,0.81808877708628,0.619983013240184,0.0141640819906277,0.0291013614688976
"449",1,6,0,1,1,0.5,200,0.788180385384587,0.557764101266562,0.016520192181569,0.0339594295164428
"451",1,6,0,1,1,1,200,0.816070453969203,0.616286550262862,0.015219066776777,0.0319001473227236
"453",1,6,0,1,2,0.5,200,0.785956056978999,0.553369911148689,0.0149312752837525,0.0305779854621455
"455",1,6,0,1,2,1,200,0.811244043301361,0.606012455654489,0.0125021071244375,0.0257487372446374
"457",1,6,0.01,0.75,0,0.5,200,0.794306153398467,0.570720219407166,0.0136066389496374,0.0274910861926576
